,"Country,Other",TotalCases,NewCases,TotalDeaths
154,Faeroe Islands,"34,237",,28 
155,Aruba,"33,732",,212 
156,Tanzania,"33,620",,798 
157,Bahamas,"33,169",,771 
158,Lesotho,"32,707",,697 
159,Mauritius,"32,431",,786 
160,Mali,"30,398",,724 
161,Haiti,"30,385",,823 
162,Benin,"26,575",,163 
163,Somalia,"26,351",,"1,348 "
164,Congo,"24,020",,378 
165,Isle of Man,"23,328",,80 
166,Timor-Leste,"22,736",,129 
167,Saint Lucia,"22,733",,360 
168,Taiwan,"20,797",,853 
169,Burkina Faso,"20,751",,375 
170,Cayman Islands,"19,373",,17 
171,Nicaragua,"18,105",,221 
172,Tajikistan,"17,388",,124 
173,South Sudan,"16,999",,137 
174,Equatorial Guinea,"15,889",,183 
175,Gibraltar,"15,609",,101 
176,Djibouti,"15,550",,189 
177,Bhutan,"14,451",,7 
178,San Marino,"14,369",,112 
179,CAR,"14,320",,113 
180,Grenada,"13,690",,216 
181,Liechtenstein,"12,833",,78 
182,Gambia,"11,939",,365 
183,Greenland,"11,806",,20 
184,Yemen,"11,775",,"2,135 "
185,Bermuda,"11,634",,123 
186,Dominica,"11,248",,61 
187,Saint Martin,"9,912",,63 
188,Eritrea,"9,715",,103 
189,Sint Maarten,"9,573",,85 
190,Monaco,"9,537",,51 
191,Niger,"8,760",,307 
192,Comoros,"8,033",,160 
193,Guinea-Bissau,"8,027",,167 
194,Solomon Islands,"7,940",,115 
195,Sierra Leone,"7,665",,125 
196,Caribbean Netherlands,"7,612",,31 
197,Antigua and Barbuda,"7,455",,135 
198,Liberia,"7,384",,294 
199,Chad,"7,255",,190 
200,St. Vincent Grenadines,"6,742",,106 
201,British Virgin Islands,"6,091",,62 
202,Sao Tome and Principe,"5,934",,72 
203,Turks and Caicos,"5,867",,36 
204,Saint Kitts and Nevis,"5,536",,42 
205,Palau,"3,844",,6 
206,St. Barth,"3,780",,6 
207,Kiribati,"2,985",,11 
208,Anguilla,"2,555",,9 
209,Saint Pierre Miquelon,"1,102",,1 
210,Tonga,898,+74, 
211,Diamond Princess,712,,13 
212,Wallis and Futuna,454,,7 
213,Montserrat,164,,2 
214,Cook Islands,117,, 
215,Falkland Islands,114,, 
216,Macao,82,, 
217,Samoa,33,, 
218,Vatican City,29,, 
